D1,D19,D31,D40,D49,D61,D28,D58
-60.4775,-59.8221,-169.7188,-65.0228,-179.2581,66.1619,75.7729,172.9309
169.8674,50.3689,66.4221,66.7401,175.8527,179.8896,150.9692,-176.3243
-62.7733,-172.9543,69.9289,172.5829,62.6606,62.295,74.1981,172.4027
-61.5081,-158.3723,-68.2457,-175.9385,-176.7531,-65.2685,76.0343,176.0322
-63.35,-175.261,63.9376,59.2498,61.5539,175.923,74.2792,171.9334
74.7937,-160.3945,-66.42,-175.1868,-176.7313,-65.2536,83.5679,-177.6878
-60.158,-60.8386,-177.7879,63.2361,62.2582,175.6445,75.5946,172.6381
59.095,58.8179,168.8889,64.9379,176.6322,179.9471,148.4852,-85.7069
-62.86,-174.2581,66.0356,63.4269,172.4364,65.3424,75.0939,172.6439
-62.6078,-162.3338,-75.1684,-177.7352,176.0602,65.2612,73.5953,174.5536
174.8146,-73.9059,177.2361,61.705,59.2927,61.4156,152.3632,-179.9012
178.1601,-137.6079,-179.1838,-179.0681,-176.8206,-65.4006,166.2849,-171.0261
74.8314,-161.2996,-68.7522,-175.9741,176.9148,65.7659,83.2185,-177.0114
-60.1508,-60.5749,-176.8664,66.9747,173.3313,65.4268,75.8461,172.9249
178.1216,-137.4607,-179.2052,-175.7897,-65.9075,-176.6994,166.3411,-171.1149
-62.2375,-171.6775,72.7998,-176.5629,-62.239,-61.7468,75.452,172.8742
-61.4604,-158.8277,-69.0906,-172.577,-66.3243,-176.5058,76.3112,176.2182
70.4347,-178.0905,66.4025,64.1356,178.3955,-66.1894,83.2935,178.8066
74.7069,-161.0816,-67.6997,-172.1324,-66.2196,-176.518,83.7329,-177.6578
59.0513,60.0695,177.298,-65.2411,-63.4791,-176.247,157.5328,-173.2739
59.1117,58.5386,172.6078,176.5478,65.7173,177.093,148.4276,-85.5365
-59.8876,-57.3377,-62.2167,-177.5392,67.3289,176.9596,77.1779,173.8966
-58.6802,-59.3484,-170.3839,-64.8961,-176.5266,-179.936,86.4453,85.5815
62.1153,60.5262,173.4084,175.7498,62.0812,61.8595,80.6774,176.0574
59.3891,61.0335,176.4287,-67.5209,-173.05,-65.4758,160.0479,-171.6279
-63.0571,-174.4209,66.206,64.2309,178.7493,-66.1404,74.5722,172.0855
65.7088,-177.7879,-175.665,-65.7855,-176.4986,-179.9214,112.1352,-75.8248
65.5506,-177.812,-178.9967,-177.1056,-65.9081,-176.9856,112.5229,-75.8617
177.9374,-136.2634,-175.3668,-65.098,-176.1839,-179.9182,166.171,-171.5785
58.9055,58.3969,172.5886,179.4848,-177.3498,-65.5707,148.1847,-85.5201
178.9332,-64.6387,-169.9018,-64.8588,-176.5292,-179.9302,123.6959,76.1124
65.5345,-177.7603,-179.0763,179.7483,177.1016,65.4553,112.7584,-76.0213
58.9829,58.5095,172.4865,179.517,176.5664,65.3919,148.278,-85.4476
-60.0362,-60.2083,-175.9982,68.4093,-179.6308,-65.6728,75.9835,173.0192
65.4897,-177.8136,-179.0146,176.3889,66.1497,176.8101,112.7477,-75.9746
69.8266,-175.3183,-178.5301,-176.2683,-62.3463,-61.9072,85.1877,85.998
-62.3581,-161.2608,-74.2962,178.7535,66.0382,176.5454,74.2001,174.5533
-58.4875,-59.1469,-173.912,-179.3812,-176.5674,-65.3582,86.5029,85.6288
-61.048,-61.9834,-168.3883,-61.6835,-63.0189,-176.1124,154.414,-175.6146
139.7712,-71.8607,-179.4363,179.4538,-179.9413,-179.9928,68.2823,170.3538
177.0178,-67.5022,-64.0015,-170.1466,-62.7573,-62.3626,151.6926,-179.9436
-58.4968,-59.2591,-173.9769,-179.5347,177.1873,65.5294,86.4828,85.5941
58.9086,58.612,172.6585,-176.9815,-66.3453,-176.729,148.243,-85.5028
-60.6169,-62.4947,-173.7609,-175.6108,-62.6062,-61.9827,153.7574,-176.1786
140.456,-177.9061,-176.0432,-65.4886,-176.3898,-179.9228,70.6248,169.5051
171.0668,62.4104,178.497,-63.9082,-59.8768,-61.6697,157.9629,-173.5178
62.0092,60.6567,170.141,65.1112,173.3361,65.3472,80.5616,175.921
69.956,-174.7762,178.6459,62.5934,60.9588,175.5087,85.0871,86.0345
-58.459,-59.2865,-174.0603,177.3789,66.3108,176.6979,86.4758,85.551
65.5029,-177.4438,177.3001,65.7828,176.3508,179.8677,112.685,-75.9722
74.8812,-160.8456,-69.0085,-179.5754,66.7771,176.6608,83.218,-177.7393
62.6451,60.6764,168.4954,61.9219,63.0443,176.2321,80.9728,176.167
-60.4837,-61.7944,-169.918,-64.6529,-173.367,-65.3324,154.787,-175.4287
67.1007,-177.8165,71.0152,177.9554,-179.8561,179.8936,110.4778,-75.7198
59.398,60.8663,175.738,-68.9672,179.8855,65.7406,160.0591,-171.5887
61.9322,60.6196,173.9512,-176.2684,-62.9877,-62.0512,80.6035,175.9927
177.5102,-65.3525,-59.7446,-58.2605,-61.7377,-175.9201,151.7088,-179.4316
69.756,-175.631,-179.2021,175.4867,62.6493,62.0826,85.1381,85.9685
70.0679,-175.1075,-174.2856,-62.3477,-62.5344,-176.1039,85.1714,86.0005
175.7611,-179.3408,178.5859,-177.0389,-65.9342,-176.8655,135.9949,-86.5194
-179.9626,-175.1921,-179.595,179.7301,177.0311,65.4447,102.4394,86.7631
-179.9571,-175.1477,-179.5328,179.848,-176.7972,-65.4795,102.5152,86.891
178.7167,-65.4981,-174.3056,-179.5718,177.1351,65.4967,123.9922,76.086
-179.8897,-61.244,-61.5246,-174.742,-179.8149,-179.8757,122.2485,76.5724
175.8373,-179.236,178.5947,176.0298,65.9566,176.7353,136.1769,-86.3652
176.6353,-68.5464,-169.9434,-61.5843,-62.2715,-175.8826,151.6619,-86.1067
-60.4282,-62.2485,-173.7886,176.6487,62.9441,61.8888,153.8467,-176.089
140.6953,-177.8023,176.3298,66.1905,176.3751,179.9362,70.325,169.4001
69.9971,-175.1228,-175.0436,-65.4949,-172.9293,-65.3419,85.1539,86.0291
-62.9241,-172.639,-175.1956,-65.6093,-176.5627,-179.9347,109.0772,-75.6548
177.4902,-65.514,-60.1046,-60.8667,-171.835,-65.0662,151.7376,-179.5903
-58.2461,-59.7442,-176.8953,67.1312,176.7366,179.9877,86.4201,85.5766
173.0647,63.1429,170.001,65.0875,176.5205,179.9294,126.2716,75.8463
61.9499,60.0437,173.6787,-62.7141,-58.9114,-174.9458,80.4058,175.8552
70.692,-174.2625,-86.1637,175.9267,65.0818,176.5764,83.2005,-178.7165
178.7787,-65.4523,-174.316,177.3276,66.3387,176.667,123.7305,76.0843
176.6346,-68.848,-66.5622,-179.7635,63.073,61.8028,151.8269,-179.9932
-60.4491,-61.6701,-169.5331,-64.8575,-179.3082,66.1973,155.0169,-175.1758
176.2001,-69.826,-175.2806,-175.731,-62.5215,-62.0069,151.6317,-86.0485
176.0055,-177.9323,175.5488,65.738,176.3079,179.9149,136.1175,-86.5424
